"Source:","/Users/nrm/Documents/DIY_Projects/Serge CGS/Full Linear PSU/Full Linear PSU.kicad_sch"
"Date:","Monday, January 03, 2022 at 02:47:03 pm"
"Tool:","Eeschema (6.0.0-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","33"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C4, ","2","100nF","C","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","Unpolarized capacitor",""
"C2, C3, ","2","2200µF","C_Polarized","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","Polarized capacitor",""
"C5, C6, ","2","10µF","C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","Polarized capacitor",""
"C7, C8, ","2","22µF","C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","Polarized capacitor",""
"D1, D2, D3, D4, D5, D6, D7, D8, ","8","1N4004","1N4004-T_NRND","digikey-footprints:DO-41","DIODE GEN PURP 400V 1A DO41",""
"D9, D10, ","2","LED","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"HS1, HS2, ","2","Heatsink","Heatsink_Pad","NeedlessMustard:HS346-ND","Heatsink with electrical connection, 1 pin",""
"J1, ","1","OSTTC030162","OSTTC030162","digikey-footprints:Term_Block_1x3_P5mm","TERM BLK 3POS SIDE ENTRY 5MM PCB",""
"J2, ","1","Eurorack_Power_10pin_Unshrouded","Eurorack_Power_10pin_Unshrouded","4ms_Connector:Pins_2x05_2.54mm_TH_Europower","HEADER 2x5 MALE PINS 0.100” 180deg",""
"R1, R2, ","2","1K5Ω","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R3, R4, ","2","220Ω","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R5, R6, ","2","1KΩ","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"TR1, ","1","164G36","164G36","NeedlessMustard:164G36","",""
"TRIM1, TRIM2, ","2","TrimPot_3299Y_2k","TrimPot_T73YEt_1k","Potentiometer_THT:Potentiometer_Bourns_3299Y_Vertical","Trimpot, TH, 1k, single turn, square",""
"U1, ","1","LM317_SOT-223","LM317_SOT-223","Package_TO_SOT_THT:TO-220F-3_Vertical","1.5A 35V Adjustable Linear Regulator, SOT-223",""
"U2, ","1","LM337_SOT223","LM337_SOT223","Package_TO_SOT_THT:TO-220F-3_Vertical","Negative 1A 35V Adjustable Linear Regulator, SOT-223",""
